Address,Value,PreviousValue,InitialValue
0x00f8a0ac,0x3f800000,0x3f800000,0x00000000
0x00f8a1bc,0x3f800000,0x3f800000,0x00000000
0x00f8a204,0x3f800000,0x3f800000,0x00000000
0x00f9dac4,0x3f800000,0x3f800000,0x00000000
0x00f9df8c,0x3f800000,0x3f800000,0x00000000
0x00f9e064,0x3f800000,0x3f800000,0x00000000
0x00f9e0ac,0x3f800000,0x3f800000,0x00000000
0x00f9e184,0x3f800000,0x3f800000,0x00000000
0x00f9e1cc,0x3f800000,0x3f800000,0x00000000
0x00f9e454,0x3f800000,0x3f800000,0x00000000
0x00f9e52c,0x3f800000,0x3f800000,0x00000000
0x00f9e91c,0x3f800000,0x3f800000,0x00000000
0x00f9ea3c,0x3f800000,0x3f800000,0x00000000
0x00f9eb14,0x3f800000,0x3f800000,0x00000000
0x00f9eb5c,0x3f800000,0x3f800000,0x00000000
0x00f9eebc,0x3f800000,0x3f800000,0x00000000
0x00f9f024,0x3f800000,0x3f800000,0x00000000
0x00f9f774,0x3f800000,0x3f800000,0x00000000
0x00f9f84c,0x3f800000,0x3f800000,0x00000000
0x00f9f894,0x3f800000,0x3f800000,0x00000000
0x00f9f96c,0x3f800000,0x3f800000,0x00000000
0x00f9f9b4,0x3f800000,0x3f800000,0x00000000
0x00f9fc3c,0x3f800000,0x3f800000,0x00000000
0x00f9fe7c,0x3f800000,0x3f800000,0x00000000
0x00fa0104,0x3f800000,0x3f800000,0x00000000
0x00fa01dc,0x3f800000,0x3f800000,0x00000000
0x00fa0224,0x3f800000,0x3f800000,0x00000000
0x00fa02fc,0x3f800000,0x3f800000,0x00000000
0x00fa0344,0x3f800000,0x3f800000,0x00000000
0x00fa06a4,0x3f800000,0x3f800000,0x00000000
0x00fa07c4,0x3f800000,0x3f800000,0x00000000
0x00fa080c,0x3f800000,0x3f800000,0x00000000
0x00fa0c8c,0x3f800000,0x3f800000,0x00000000
0x00fa0cd4,0x3f800000,0x3f800000,0x00000000
0x00fa77cc,0x3f800000,0x3f800000,0x00000000
0x00fa7c94,0x3f800000,0x3f800000,0x00000000
0x100948d8,0xffffff96,0xffffff96,0x00000000
0x100d9218,0x53696e67,0x53696e67,0x00000000
0x100d921c,0x6c65506c,0x6c65506c,0x00000000
0x100d9220,0x61796572,0x61796572,0x00000000
0x100d9224,0x2e666172,0x2e666172,0x00000000
0x105cd1f8,0x905cd1ec,0x905cd1ec,0x00000000
0x105cd1fc,0x807b6988,0x807b6988,0x00000000
0x105ec408,0xc33e4b6a,0xc33e4b6a,0x00000000
0x105ec45c,0xc33d8926,0xc33d8926,0x00000000
0x105ec504,0x40d50439,0x40d50439,0x00000000
0x105ec558,0x416b1164,0x416b1164,0x00000000
0x105ec594,0x00010001,0x00010001,0x00000000
0x105ec598,0x932c9010,0x932c9010,0x00000000
0x105ec5e8,0x007f0000,0x007f0000,0x00000000
0x105ec5ec,0x932c9fd0,0x932c9fd0,0x00000000
0x105ecdc8,0x00610001,0x00610001,0x00000000
0x105ece20,0x932c9bf0,0x932c9bf0,0x00000000
0x105ece6c,0x3f800000,0x3f800000,0x00000000
0x105ece74,0x932c9bd0,0x932c9bd0,0x00000000
0x105ecec0,0x3f800000,0x3f800000,0x00000000
0x105ecec8,0x932c9950,0x932c9950,0x00000000
0x105ecf14,0x3f800000,0x3f800000,0x00000000
0x105ecf1c,0x932c9c30,0x932c9c30,0x00000000
0x105ecf68,0x3f800000,0x3f800000,0x00000000
0x105ecf70,0x932c9030,0x932c9030,0x00000000
0x105ecfbc,0x3f800000,0x3f800000,0x00000000
0x105ecfc4,0x932c99d0,0x932c99d0,0x00000000
0x105ed018,0x932c9c90,0x932c9c90,0x00000000
0x105ed064,0x3f800000,0x3f800000,0x00000000
0x105ed06c,0x932c99f0,0x932c99f0,0x00000000
0x105ed0b8,0x3f800000,0x3f800000,0x00000000
0x105ed0c0,0x932c9cb0,0x932c9cb0,0x00000000
0x105ed10c,0x3f800000,0x3f800000,0x00000000
0x105ed114,0x932c9a10,0x932c9a10,0x00000000
0x105ed160,0x3f800000,0x3f800000,0x00000000
0x105ed168,0x932c9cd0,0x932c9cd0,0x00000000
0x105ed1b4,0x3f800000,0x3f800000,0x00000000
0x105ed1bc,0x932c9a30,0x932c9a30,0x00000000
0x105ed210,0x932c9cf0,0x932c9cf0,0x00000000
0x105ed25c,0x3f800000,0x3f800000,0x00000000
0x105ed264,0x932c9a50,0x932c9a50,0x00000000
0x105ed2b0,0x3f800000,0x3f800000,0x00000000
0x105ed2b8,0x932c9d10,0x932c9d10,0x00000000
0x105ed2bc,0x801cde20,0x801cde20,0x00000000
0x105ed2e4,0x3f800000,0x3f800000,0x00000000
0x105ed488,0x3f800000,0x3f800000,0x00000000
0x105ed504,0x932c9990,0x932c9990,0x00000000
0x105ed558,0x932c9ad0,0x932c9ad0,0x00000000
0x105ed584,0x3f800000,0x3f800000,0x00000000
0x105ed5d4,0x3f800000,0x3f800000,0x00000000
0x105ed5d8,0x3f800000,0x3f800000,0x00000000
0x105ed628,0x3f800000,0x3f800000,0x00000000
0x105ed67c,0x3f800000,0x3f800000,0x00000000
0x105ed6d0,0x3f800000,0x3f800000,0x00000000
0x105ed724,0x3f800000,0x3f800000,0x00000000
0x105ed778,0x3f800000,0x3f800000,0x00000000
0x105ed7cc,0x3f800000,0x3f800000,0x00000000
0x105ed820,0x3f800000,0x3f800000,0x00000000
0x105ed874,0x3f800000,0x3f800000,0x00000000
0x105ed8c8,0x3f800000,0x3f800000,0x00000000
0x105ed91c,0x3f800000,0x3f800000,0x00000000
0x105ed970,0x3f800000,0x3f800000,0x00000000
0x105ed9c4,0x3f800000,0x3f800000,0x00000000
0x105eda18,0x3f800000,0x3f800000,0x00000000
0x105edac0,0x3f800000,0x3f800000,0x00000000
0x105ee174,0x3f800000,0x3f800000,0x00000000
0x105ee1c8,0x3f800000,0x3f800000,0x00000000
0x105ee1cc,0x00390001,0x00390001,0x00000000
0x105ee21c,0x3f800000,0x3f800000,0x00000000
0x105ee220,0x002d0001,0x002d0001,0x00000000
0x105ee5b8,0x3f800000,0x3f800000,0x00000000
0x105ee5bc,0x001f0001,0x001f0001,0x00000000
0x105ee60c,0x3f800000,0x3f800000,0x00000000
0x105ee610,0x00470001,0x00470001,0x00000000
0x105ee660,0x3f800000,0x3f800000,0x00000000
0x105ee664,0x00240001,0x00240001,0x00000000
0x105ee6b4,0x3f800000,0x3f800000,0x00000000
0x105ee6b8,0x000b0001,0x000b0001,0x00000000
0x105ee708,0x3f800000,0x3f800000,0x00000000
0x105ee70c,0x001b0001,0x001b0001,0x00000000
0x105ee75c,0x3f800000,0x3f800000,0x00000000
0x105ee760,0x00080001,0x00080001,0x00000000
0x105ee7b4,0x46524500,0x46524500,0x00000000
0x1068f538,0x00010000,0x00010000,0x00000000
0x1068f53c,0x3f800000,0x3f800000,0x00000000
0x10742c00,0x007b6508,0x007b6508,0x00000000
0x107441f4,0x000f64a0,0x000f64a0,0x00000000
0x1074fb80,0x90904c34,0x90904c34,0x00000000
0x1074fb84,0x9076e590,0x9076e590,0x00000000
0x1074fba0,0x907acc74,0x907acc74,0x00000000
0x1074fba4,0x9076ddd4,0x9076ddd4,0x00000000
0x1074fc04,0x9076dfe4,0x9076dfe4,0x00000000
0x1074fcc0,0x9077fe9c,0x9077fe9c,0x00000000
0x1074fce0,0x9077fe9c,0x9077fe9c,0x00000000
0x1074fce4,0x9076e824,0x9076e824,0x00000000
0x1074fd44,0x9076e0ec,0x9076e0ec,0x00000000
0x1074fde4,0x9076df60,0x9076df60,0x00000000
0x1074fe64,0x9076de58,0x9076de58,0x00000000
0x1074fec4,0x9076dccc,0x9076dccc,0x00000000
0x1074ff40,0x90dc60b0,0x90dc60b0,0x00000000
0x1074ff44,0x9076de58,0x9076de58,0x00000000
0x1074ffc4,0x9076dd50,0x9076dd50,0x00000000
0x10750044,0x9076e1f4,0x9076e1f4,0x00000000
0x10750064,0x9076e278,0x9076e278,0x00000000
0x10750100,0x90dc5e10,0x90dc5e10,0x00000000
0x10750120,0x90dc6390,0x90dc6390,0x00000000
0x10750140,0x90dc6b70,0x90dc6b70,0x00000000
0x10750144,0x9076e278,0x9076e278,0x00000000
0x10750160,0x90dc5e10,0x90dc5e10,0x00000000
0x10750164,0x9076e2fc,0x9076e2fc,0x00000000
0x10750180,0x90dc6cd0,0x90dc6cd0,0x00000000
0x10750184,0x9076e71c,0x9076e71c,0x00000000
0x107501a0,0x90dc6390,0x90dc6390,0x00000000
0x107501a4,0x9076e7a0,0x9076e7a0,0x00000000
0x10750280,0x9077fe9c,0x9077fe9c,0x00000000
0x10750284,0x9076df60,0x9076df60,0x00000000
0x107502dc,0x9077ffc8,0x9077ffc8,0x00000000
0x107502fc,0x9077f830,0x9077f830,0x00000000
0x10750300,0x90904c34,0x90904c34,0x00000000
0x10750304,0x9076e0ec,0x9076e0ec,0x00000000
0x1075031c,0x9077fe9c,0x9077fe9c,0x00000000
0x1075033c,0x9077ffc8,0x9077ffc8,0x00000000
0x1075035c,0x9077f9f4,0x9077f9f4,0x00000000
0x10750360,0x9077fe9c,0x9077fe9c,0x00000000
0x10750364,0x9076db40,0x9076db40,0x00000000
0x1075037c,0x9077fe9c,0x9077fe9c,0x00000000
0x10750380,0x9077ffc8,0x9077ffc8,0x00000000
0x10750384,0x9076e488,0x9076e488,0x00000000
0x1075039c,0x907801ac,0x907801ac,0x00000000
0x107503bc,0x907802d8,0x907802d8,0x00000000
0x107503dc,0x9077f9f4,0x9077f9f4,0x00000000
0x107503e0,0x907801ac,0x907801ac,0x00000000
0x107503e4,0x9076dd50,0x9076dd50,0x00000000
0x107503fc,0x907801ac,0x907801ac,0x00000000
0x10750400,0x907802d8,0x907802d8,0x00000000
0x10750404,0x9076e614,0x9076e614,0x00000000
0x1075041c,0x907801ac,0x907801ac,0x00000000
0x1075043c,0x907802d8,0x907802d8,0x00000000
0x1075045c,0x907801ac,0x907801ac,0x00000000
0x1075047c,0x907802d8,0x907802d8,0x00000000
0x1075049c,0x9077f9f4,0x9077f9f4,0x00000000
0x107504a0,0x907801ac,0x907801ac,0x00000000
0x107504a4,0x9076e614,0x9076e614,0x00000000
0x107504bc,0x907801ac,0x907801ac,0x00000000
0x107504c0,0x907802d8,0x907802d8,0x00000000
0x107504c4,0x9076dd50,0x9076dd50,0x00000000
0x107504dc,0x907801ac,0x907801ac,0x00000000
0x107504fc,0x907802d8,0x907802d8,0x00000000
0x1075051c,0x907801ac,0x907801ac,0x00000000
0x1075053c,0x907802d8,0x907802d8,0x00000000
0x1075055c,0x9077f9f4,0x9077f9f4,0x00000000
0x10750560,0x907801ac,0x907801ac,0x00000000
0x10750564,0x9076dd50,0x9076dd50,0x00000000
0x1075057c,0x907801ac,0x907801ac,0x00000000
0x10750580,0x907802d8,0x907802d8,0x00000000
0x10750584,0x9076e614,0x9076e614,0x00000000
0x1075059c,0x907801ac,0x907801ac,0x00000000
0x107505bc,0x907802d8,0x907802d8,0x00000000
0x107505dc,0x9077fe9c,0x9077fe9c,0x00000000
0x107505fc,0x9077ffc8,0x9077ffc8,0x00000000
0x1075061c,0x9077f830,0x9077f830,0x00000000
0x10750620,0x90904c34,0x90904c34,0x00000000
0x10750624,0x9076e0ec,0x9076e0ec,0x00000000
0x1075063c,0x9077f830,0x9077f830,0x00000000
0x10750640,0x907acc74,0x907acc74,0x00000000
0x10750644,0x9076e488,0x9076e488,0x00000000
0x1075065c,0x9077f830,0x9077f830,0x00000000
0x10750660,0x90854b34,0x90854b34,0x00000000
0x10750664,0x9076db40,0x9076db40,0x00000000
0x1075067c,0x90854b34,0x90854b34,0x00000000
0x1075069c,0x90854cf0,0x90854cf0,0x00000000
0x107506a0,0x90854b34,0x90854b34,0x00000000
0x107506a4,0x9076e614,0x9076e614,0x00000000
0x107506bc,0x9077f830,0x9077f830,0x00000000
0x107506c0,0x90854cf0,0x90854cf0,0x00000000
0x107506c4,0x9076dd50,0x9076dd50,0x00000000
0x107506dc,0x9077fe9c,0x9077fe9c,0x00000000
0x107506fc,0x9077ffc8,0x9077ffc8,0x00000000
0x1075071c,0x9077f9f4,0x9077f9f4,0x00000000
0x10750720,0x9077fe9c,0x9077fe9c,0x00000000
0x10750724,0x9076e71c,0x9076e71c,0x00000000
0x1075073c,0x9077fe9c,0x9077fe9c,0x00000000
0x10750740,0x9077ffc8,0x9077ffc8,0x00000000
0x10750744,0x9076e7a0,0x9076e7a0,0x00000000
0x1075075c,0x9077f9f4,0x9077f9f4,0x00000000
0x10750760,0x9077fe9c,0x9077fe9c,0x00000000
0x1075077c,0x90854b34,0x90854b34,0x00000000
0x10750780,0x9077fe9c,0x9077fe9c,0x00000000
0x10750784,0x9076e278,0x9076e278,0x00000000
0x1075079c,0x9077f830,0x9077f830,0x00000000
0x107507a0,0x90855034,0x90855034,0x00000000
0x107507a4,0x9076e71c,0x9076e71c,0x00000000
0x107507bc,0x9077f830,0x9077f830,0x00000000
0x107507c0,0x908551f4,0x908551f4,0x00000000
0x107507c4,0x9076db40,0x9076db40,0x00000000
0x107507dc,0x9077f830,0x9077f830,0x00000000
0x107507e0,0x90d80e54,0x90d80e54,0x00000000
0x107507e4,0x9076e2fc,0x9076e2fc,0x00000000
0x107507fc,0x9077f830,0x9077f830,0x00000000
0x10750800,0x90dc59d4,0x90dc59d4,0x00000000
0x10750804,0x9076de58,0x9076de58,0x00000000
0x1075081c,0x907801ac,0x907801ac,0x00000000
0x1075083c,0x907802d8,0x907802d8,0x00000000
0x1075085c,0x9077f9f4,0x9077f9f4,0x00000000
0x10750860,0x907801ac,0x907801ac,0x00000000
0x10750864,0x9076e1f4,0x9076e1f4,0x00000000
0x1075087c,0x907801ac,0x907801ac,0x00000000
0x10750880,0x907802d8,0x907802d8,0x00000000
0x10750884,0x9076e068,0x9076e068,0x00000000
0x1075089c,0x9077f9f4,0x9077f9f4,0x00000000
0x107508a0,0x907801ac,0x907801ac,0x00000000
0x107508bc,0x90dc59d4,0x90dc59d4,0x00000000
0x107508c0,0x907801ac,0x907801ac,0x00000000
0x107508c4,0x9076e380,0x9076e380,0x00000000
0x107508dc,0x90dc59d4,0x90dc59d4,0x00000000
0x107508e0,0x907801ac,0x907801ac,0x00000000
0x107508fc,0x90dc59d4,0x90dc59d4,0x00000000
0x10750900,0x90dc5b30,0x90dc5b30,0x00000000
0x10750904,0x9076e1f4,0x9076e1f4,0x00000000
0x1075091c,0x90dc5b30,0x90dc5b30,0x00000000
0x10750920,0x907801ac,0x907801ac,0x00000000
0x10750924,0x9076e50c,0x9076e50c,0x00000000
0x1075093c,0x90dc59d4,0x90dc59d4,0x00000000
0x10750940,0x90dc5b30,0x90dc5b30,0x00000000
0x1075095c,0x90dc59d4,0x90dc59d4,0x00000000
0x10750960,0x90dc5e10,0x90dc5e10,0x00000000
0x10750964,0x9076e380,0x9076e380,0x00000000
0x1075097c,0x90dc5e10,0x90dc5e10,0x00000000
0x10750980,0x90dc5b30,0x90dc5b30,0x00000000
0x10750984,0x9076e590,0x9076e590,0x00000000
0x1075099c,0x90dc59d4,0x90dc59d4,0x00000000
0x107509a0,0x907801ac,0x907801ac,0x00000000
0x107509a4,0x9076ddd4,0x9076ddd4,0x00000000
0x107509bc,0x90dc59d4,0x90dc59d4,0x00000000
0x107509c0,0x907801ac,0x907801ac,0x00000000
0x107509dc,0x90dc59d4,0x90dc59d4,0x00000000
0x107509e0,0x90dc60b0,0x90dc60b0,0x00000000
0x107509e4,0x9076e1f4,0x9076e1f4,0x00000000
0x107509fc,0x90dc60b0,0x90dc60b0,0x00000000
0x10750a00,0x907801ac,0x907801ac,0x00000000
0x10750a04,0x9076e170,0x9076e170,0x00000000
0x10750a1c,0x90dc59d4,0x90dc59d4,0x00000000
0x10750a20,0x90dc60b0,0x90dc60b0,0x00000000
0x10750a3c,0x90dc59d4,0x90dc59d4,0x00000000
0x10750a40,0x90dc6390,0x90dc6390,0x00000000
0x10750a44,0x9076ddd4,0x9076ddd4,0x00000000
0x10750a5c,0x90dc6390,0x90dc6390,0x00000000
0x10750a60,0x90dc60b0,0x90dc60b0,0x00000000
0x10750a64,0x9076df60,0x9076df60,0x00000000
0x10750a7c,0x90dc59d4,0x90dc59d4,0x00000000
0x10750a80,0x907801ac,0x907801ac,0x00000000
0x10750a84,0x9076e404,0x9076e404,0x00000000
0x10750a9c,0x90dc59d4,0x90dc59d4,0x00000000
0x10750abc,0x9077f830,0x9077f830,0x00000000
0x10750ac0,0x90dc68d0,0x90dc68d0,0x00000000
0x10750ac4,0x9076e1f4,0x9076e1f4,0x00000000
0x10750adc,0x90dc68d0,0x90dc68d0,0x00000000
0x10750ae0,0x90dc6630,0x90dc6630,0x00000000
0x10750ae4,0x9076dbc4,0x9076dbc4,0x00000000
0x10750afc,0x90dc6630,0x90dc6630,0x00000000
0x10750b00,0x90dc59d4,0x90dc59d4,0x00000000
0x10750b04,0x9076e698,0x9076e698,0x00000000
0x10750b1c,0x90dc6630,0x90dc6630,0x00000000
0x10750b20,0x90dc59d4,0x90dc59d4,0x00000000
0x10750b3c,0x90dc6630,0x90dc6630,0x00000000
0x10750b40,0x90dc7110,0x90dc7110,0x00000000
0x10750b44,0x9076dfe4,0x9076dfe4,0x00000000
0x10750b5c,0x90dc7110,0x90dc7110,0x00000000
0x10750b60,0x90dc6e30,0x90dc6e30,0x00000000
0x10750b64,0x9076dedc,0x9076dedc,0x00000000
0x10750b7c,0x90dc6e30,0x90dc6e30,0x00000000
0x10750b80,0x90dc59d4,0x90dc59d4,0x00000000
0x10750b84,0x9076e824,0x9076e824,0x00000000
0x10750b9c,0x90dc59d4,0x90dc59d4,0x00000000
0x10750ba0,0x90dc5e10,0x90dc5e10,0x00000000
0x10750bbc,0x90dc59d4,0x90dc59d4,0x00000000
0x10750bc0,0x90dc6390,0x90dc6390,0x00000000
0x10750bdc,0x90dc59d4,0x90dc59d4,0x00000000
0x10750be0,0x90dc6b70,0x90dc6b70,0x00000000
0x10750be4,0x9076e698,0x9076e698,0x00000000
0x10750bfc,0x90dc6b70,0x90dc6b70,0x00000000
0x10750c00,0x90dc5e10,0x90dc5e10,0x00000000
0x10750c04,0x9076de58,0x9076de58,0x00000000
0x10750c1c,0x90dc59d4,0x90dc59d4,0x00000000
0x10750c20,0x90dc6cd0,0x90dc6cd0,0x00000000
0x10750c24,0x9076dc48,0x9076dc48,0x00000000
0x10750c3c,0x90dc6cd0,0x90dc6cd0,0x00000000
0x10750c40,0x90dc6390,0x90dc6390,0x00000000
0x10750c44,0x9076dccc,0x9076dccc,0x00000000
0x10750c5c,0x9077fe9c,0x9077fe9c,0x00000000
0x10750c7c,0x9077ffc8,0x9077ffc8,0x00000000
0x10750c9c,0x907801ac,0x907801ac,0x00000000
0x10750cbc,0x907802d8,0x907802d8,0x00000000
0x10750cdc,0x9077fe9c,0x9077fe9c,0x00000000
0x10750cfc,0x9077ffc8,0x9077ffc8,0x00000000
0x10750d1c,0x9077f9f4,0x9077f9f4,0x00000000
0x10750d20,0x9077fe9c,0x9077fe9c,0x00000000
0x10750d24,0x9076e068,0x9076e068,0x00000000
0x10750d3c,0x9077fe9c,0x9077fe9c,0x00000000
0x10750d40,0x9077ffc8,0x9077ffc8,0x00000000
0x10750d44,0x9076e404,0x9076e404,0x00000000
0x10750d5c,0x9077fe9c,0x9077fe9c,0x00000000
0x10750d7c,0x9077ffc8,0x9077ffc8,0x00000000
0x10750d9c,0x9077f830,0x9077f830,0x00000000
0x10750da0,0x90904c34,0x90904c34,0x00000000
0x10750da4,0x9076e2fc,0x9076e2fc,0x00000000
0x10750dbc,0x9077fe9c,0x9077fe9c,0x00000000
0x10750ddc,0x9077ffc8,0x9077ffc8,0x00000000
0x10750dfc,0x9077f9f4,0x9077f9f4,0x00000000
0x10750e00,0x9077fe9c,0x9077fe9c,0x00000000
0x10750e04,0x9076dedc,0x9076dedc,0x00000000
0x10750e1c,0x9077fe9c,0x9077fe9c,0x00000000
0x10750e20,0x9077ffc8,0x9077ffc8,0x00000000
0x10750e24,0x9076e824,0x9076e824,0x00000000
0x10750e3c,0x907801ac,0x907801ac,0x00000000
0x10750e5c,0x907802d8,0x907802d8,0x00000000
0x10750e7c,0x9077f9f4,0x9077f9f4,0x00000000
0x10750e80,0x907801ac,0x907801ac,0x00000000
0x10750e84,0x9076df60,0x9076df60,0x00000000
0x10750e9c,0x907801ac,0x907801ac,0x00000000
0x10750ea0,0x907802d8,0x907802d8,0x00000000
0x10750ea4,0x9076e590,0x9076e590,0x00000000
0x10750ebc,0x907801ac,0x907801ac,0x00000000
0x10750edc,0x907802d8,0x907802d8,0x00000000
0x10750efc,0x907801ac,0x907801ac,0x00000000
0x10750f1c,0x907802d8,0x907802d8,0x00000000
0x10750f3c,0x9077f9f4,0x9077f9f4,0x00000000
0x10750f40,0x907801ac,0x907801ac,0x00000000
0x10750f44,0x9076e590,0x9076e590,0x00000000
0x10750f5c,0x907801ac,0x907801ac,0x00000000
0x10750f60,0x907802d8,0x907802d8,0x00000000
0x10750f64,0x9076df60,0x9076df60,0x00000000
0x10750f7c,0x907801ac,0x907801ac,0x00000000
0x10750f9c,0x907802d8,0x907802d8,0x00000000
0x10750fbc,0x907801ac,0x907801ac,0x00000000
0x10750fdc,0x907802d8,0x907802d8,0x00000000
0x10750ffc,0x9077f9f4,0x9077f9f4,0x00000000
0x10751000,0x907801ac,0x907801ac,0x00000000
0x10751004,0x9076df60,0x9076df60,0x00000000
0x1075101c,0x907801ac,0x907801ac,0x00000000
0x10751020,0x907802d8,0x907802d8,0x00000000
0x10751024,0x9076e590,0x9076e590,0x00000000
0x1075103c,0x907801ac,0x907801ac,0x00000000
