Dharma Dash, Race, Hong Kong (Tier 1)
Top To Bottom, Slalom, Rio (Tier 8)
Top To Bottom, Trick, Rome (Tier 8)
Mall Rats, Special, Chicago (Tier 8)
Bully Board, Special, Rio (Tier 8)

Saturday Matinee, Race, Chicago (Tier 9)
Scottish Catacombs, Race, Edinburgh (Tier 9)
The Hills Are Alive, Race, Alps (Tier 9)
The Hills Are Alive, Trick, Alps (Tier 9)
Favela Rush, Trick, Rio (Tier 9)
Top to Bottom, Slalom, San Francisco (Tier 9)
Mall Moves, Trick, Chicago (Tier 9)
Seaside Village, Slalom, Rome (Tier 9)
Full Mall Grind, Special, Chicago (Tier 9)
The Hills Are Alive, Slalom, Alps (Tier 9)
Top to Bottom, Trick, Hong Kong (Tier 9)
Top to Bottom, Trick, Rio (Tier 9)
Swiss Elimination, Special, Alps (Tier 9)
Cash Grab, Special, Chicago (Tier 9)

Top to Bottom, Race, San Francisco (Tier 10)
Top to Bottom, Slalom, Rome (Tier 10)
Top to Bottom, Slalom, Machu Picchu (Tier 10)
Top to Bottom, Slalom, Edinburgh (Tier 10)
Mall Trash, Trick, Chicago (Tier 10)
Elimination Sale, Special, Chicago (Tier 10)
Top to Bottom, Race, Alps (Tier 10)
Top to Bottom, Trick, Alps (Tier 10)
Top to Bottom, Slalom, Alps (Tier 10)
Boost Jam, Special, Machu Picchu (Tier 10)
Unknown Skater, Special, Alps (Tier 10)
